ClientID,Finance PnL Code,ClientName,BU_Division,Segment,Team_Lead,Manager,Tier,SITE,CS Name - Sign Off,Sign off Date,Plan Market Value,Total Value of Service,Billed ,Unbilled,Profit Margin
DISGSS,WDIS160,WALT DISNEY COMPANY,IIS,Corporate,MATTHEW SWAN,Azharuddin Mansiya,1,SACRAMENTO,Asad Khan,10/2/2017,"12,027,907,219","338,000","338,000",0,
WSIB,WPSB091,WORKPLACE SAFETY & INSURANCE BOARD (WSIB),IIS Canada,Public Funds,MATTHEW SWAN,DAVID DAI,1,TORONTO,Asad Khan,10/2/2017,"25,124,010,831","315,461","315,461",0,
XEROXCA,XERX091,XEROX CANADA,IIS Canada,Corporate,MATTHEW SWAN,Rob Moles,3,BOSTON,Urvashi Joshi,9/21/2017,"732,629,691","31,986","31,986",0,
TCW,CARL090,TCW,USIS,Asset Manager,Vu Nguyen,MABLE LEUNG,2,SACRAMENTO,Yevgeniy Gutsan,9/12/2017,"17,204,470,413","165,800","165,800",0,
CVX,TEXA16A,CHEVRON CORPORATION,IIS,Corporate,,,1,SACRAMENTO,Carl Hennessy,9/18/2017,"297,904,861","1,100","1,100",0,
,,Fiat Lux,,,,,,SACRAMENTO,Vu Nguyen,9/15/2017,"897,262,521","24,550",0,"24,550",
NEWMEX,PENM260,NEW MEXICO EDUCATIONAL RETIREMENT BOARD,IIS,Public Funds,,,2,SACRAMENTO,Justin Rozek,9/18/2017,"12,227,237,000","88,625",0,"88,625",
,CLHK094,CASTLEHOOK,AIS,Asset Manager,,,2,Toronto,Asad Khan,10/2/2017,"1,251,655,434","5,500",0,"5,500",
DGAM,,Desjadins Global Asset Management,IIS Canada,Asset Manager,,,2,Toronto,Asad Khan,10/3/2017,"88,594,804","20,791","20,791",0,
HENKELCA,HENK091,HENKEL CANADA,IIS Canada,Corporate,,,3,BOSTON,Anthony Labaki,9/26/2017,"53,809,845","6,025","6,025",0,
Multiple,RUOC16B,"UC REGENTS, General Liability Obligation and U of C plans",IIS,Public Funds,,,1,SACRAMENTO,Vu Nguyen,9/15/2017,"108,941,658,606","1,399,800",0,"1,396,300",
USCFF,,UCSF,,Public Funds,,,1,SACRAMENTO,Vu Nguyen,9/15/2017,"1,706,652,302","111,950","111,950",0,
MATRIFS,MACG097,MATRIX CAPITAL MANAGEMENT,AIS,Asset Manager,,,2,Toronto,Asad Khan,10/3/2017,"5,500,121,367","13,500",0,"13,500",
NIKKO,NIKK093,NIKKO AM,AIS,Asset Manager,,,3,BOSTON,,,,,,,
AWCB091,AWCB091,WCB ALBERTA,IIS Canada,Insurance,,,2,Toronto,Kyle Coelho,9/20/2017,"8,591,596,333","68,410","68,410",0,
PARAMETRIC,EATO090,PARAMETRIC PORTFOLIO ADVISORS,USIS,Asset Manager,,,3,BOSTON,,,,,,,
MICHSS,STMI16C,STATE OF MICHIGAN,IIS,Public Funds,,,1,BOSTON,Bo Luong,11/16/2017,"66,326,546,501","1,435,075",0,"1,435,075",
UBS12,UBSX16E,UBS ASSET MANAGER,IIS,Asset Manager,,,3,BOSTON,,,,,,,
